"","score","text"
"96",0,"RT @BeSafe2017: Dear 2017, 

Thank God your here!

Nothing can be worse than the last 8 years!

#MAGA
#AmericaFirst
#Trump
#HesMyPresident…"
"97",0,"RT @dabeard: Fear rises at @StateDept after #Trump team demands info on programs designed to help women https://t.co/SFspZqlZYv via @TracyK…"
"98",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"99",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"100",-1,"RT @solaranoir: Can someone explain to me hw #Trump is getting away w all of this? He's ILLEGITIMATE for so many reasons, he's a CROOK! #Tr…"
"101",-3,"Footage shows Berlin terror attack suspect 'visiting mosque' hours after lorry smashed into Christmas…… https://t.co/btf6xMnV7l"
"102",2,"RT @T_I_T_A_N_I_UM: @transition2017 @KellyannePolls @JasonMillerinDC @PutinRF_Eng @realDonaldTrump 

#Trump and #Russia to defeat ISIS? 

<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8>…"
"103",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"104",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"105",1,"RT @GillesKLEIN: «  Sir, how many divisions do you want to deploy in this Twitter war ? » (dessin Margulies) #Trump https://t.co/uLBjpk0sq7"
"106",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"107",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"108",-2,"Syrian evacuees fleeing Aleppo could suffer same fate in refuge city, UN envoy warns https://t.co/hAV69E27yE… https://t.co/O5wsQtcHeg"
"109",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"110",3,"@thehill and so it starts. The arm race, good for Putin, good for #Trump. Its all about the money honey"
"111",0,"MSM = Main Stream Meltdown™
#draintheswamp
#deplorables
#trump2016
#wikileaks
#teaparty
#hannity
#pence
#trump… https://t.co/Mocwwx4ZW6"
"112",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"113",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"114",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"115",2,"RT @Professing_Prof: Is there a place where Progressive Organizations are building up to fight #Trump have job openings/listings? That migh…"
